ticker_name,exchange_name,exchange_token_balance (cryptocurrency),exchange_value (USD),one_day_change (cryptocurrency),seven_day_change (cryptocurrency),three_day_change (cryptocurrency)
MATIC,Korbit,6136.1,7149.78,0,0,0
SOL,0,,,,,
DOT,Binance,8202856,55351233,11107.18,-10335.55,58817.05
DOT,gate.io,830.81,5606.2,0,0,0
LTC,Binance,320685,30981955,299.76,325.68,2877.26
LTC,gate.io,50.04,4834.89,0,0,0
BUSD,Binance,6108344515,6112620356,-72847730,-1122765042,-2228719991
BUSD,Bitget,9298679,9305189,1055.21,51049.35,5156312
BUSD,Binance.US,6724680,6729388,2337.89,60024.56,-1406847
BUSD,Bybit,3556274,3558764,120527,227659,-782644
BUSD,KuCoin,3372443,3374804,115232,144538,-409153
BUSD,Coinbase Pro,1195528,1196365,2877.67,11363.76,19839.65
BUSD,Crypto.com Exchange,510559,510917,202.27,460.99,-2805195
BUSD,MEXC Global,373637,373898,97041.14,22613.6,97087.72
BUSD,Poloniex,286368,286569,-10001.71,-8815.64,-11990.81
BUSD,Gemini,220485,220640,1812.79,1144.53,-110208
BUSD,Hotbit,36958.3,36984.17,0,0,0
BUSD,Coinlist Pro,32369.4,32392.06,0,0,0
BUSD,WazirX,22317.5,22333.12,0,11048.24,-17791.66
BUSD,OKX(OKEx),17064.05,17075.99,0,0,0
BUSD,AscendEX,15987.99,15999.19,4996,4996,4957.15
BUSD,CEX.IO,4544.33,4547.51,0,-148,-91756.32
BUSD,gate.io,1466.76,1467.79,-5012689,-22687325,-595745
BUSD,Bilaxy,205,205.14,0,0,0
BUSD,Kraken,49.72,49.76,0,0,0
BUSD,HitBTC,2.402,2.4,0,0,0
BUSD,BitMEX,0.1274,0.13,0,0,0
BUSD,ZT,2.00E-08,0,0,0,0
BUSD,BTSE,0,0,0,0,0
BUSD,FTX,0,0,0,0,0
BUSD,FTX US,0,0,0,0,0
SHIB,Binance,8.70637E+13,982949719,1.1273E+11,2.59185E+11,1.11761E+12
SHIB,OKX(OKEx),1.0974E+13,123896262,1.49703E+11,95037330639,9.30629E+11
SHIB,Crypto.com Exchange,9.37938E+12,105893167,-52664538204,-1.55094E+11,-4.54399E+13
SHIB,gate.io,6.29721E+12,71095498,7967307865,25877618897,40708146878
SHIB,KuCoin,4.49838E+12,50786724,-26517190537,1732110716,5712055597
SHIB,Binance.US,3.34168E+12,37727599,-6415094663,6242866591,-85177170147
SHIB,Huobi Global,1.81314E+12,20470329,0,0,-3258928588
SHIB,Indodax,1.13166E+12,12776410,-5091649284,-1211070337,-13741770906
SHIB,CoinSwitch,9.51238E+11,10739471,0,-921160349,-921160349
SHIB,Bybit,7.35783E+11,8306987,5674262737,26520655590,2.11313E+11
SHIB,Coinbase Pro,5.98886E+11,6761426,-5293842170,46034577932,1.40195E+11
SHIB,Poloniex,5.8941E+11,6654441,-19247383,-2189546368,-2704821761
SHIB,Gemini,3.40031E+11,3838944,-2235731029,5423898655,8431113029
SHIB,bitFlyer,2.3974E+11,2706659,3186979596,51885797409,0
SHIB,Korbit,1.48392E+11,1675341,-770923396,-1595449082,-6282900620
SHIB,Hotbit,1.15153E+11,1300074,-235500000,-6656789694,-53280042431
