ticker_name,ticker_url,ticker_exchange_name,ticker_exchange_tokenbalance,ticker_exchange_value,ticker_exchange_selection1,ticker_exchange_sevendaychange,ticker_exchange_threedaychange
2 ETH,https://www.coincarp.com/currencies/ethereum/,BigONE,"4,046.57 ETH","$8,526,950 ",-1.481 ETH,-432.13 ETH,-808.33 ETH
3 USDT,https://www.coincarp.com/currencies/tether/,Binance,"2,703,092,503 USDT","$2,704,173,740 ","-103,723,060 USDT","+185,334,388 USDT","+14,742,633 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,OKX(OKEx),"1,584,032,065 USDT","$1,584,665,678 ","+21,313,474 USDT","+121,750,683 USDT","+726,522,161 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Bybit,"948,738,131 USDT","$949,117,626 ","-17,900,069 USDT","-34,434,988 USDT","+47,489,972 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,KuCoin,"608,805,664 USDT","$609,049,186 ","-7,468,798 USDT","+5,120,233 USDT","+47,218,663 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,MEXC Global,"379,755,841 USDT","$379,907,743 ","+8,205,738 USDT","+16,292,226 USDT","+88,840,271 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Bitfinex,"293,028,302 USDT","$293,145,514 ","-39,135,606 USDT","-184,656,077 USDT","-479,715,894 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,gate.io,"201,809,520 USDT","$201,890,244 ","-3,541,274 USDT","-2,376,392 USDT","+18,161,094 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Bitget,"179,867,851 USDT","$179,939,799 ","+1,112,343 USDT","+1,671,992 USDT","+437,782 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Huobi Global,"153,096,988 USDT","$153,158,227 ","+10,640,214 USDT","+34,453,152 USDT","+48,476,126 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,BitMEX,"141,023,221 USDT","$141,079,630 ","-1,265,444 USDT","-2,975,818 USDT","+4,774,962 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Crypto.com Exchange,"102,492,222 USDT","$102,533,219 ","-8,758,149 USDT","+19,867,352 USDT","+28,404,502 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Bittrex,"82,345,046 USDT","$82,377,984 ","+2,018 USDT","+10,683.84 USDT","-8,934,099 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Okcoin,"70,702,325 USDT","$70,730,606 ","+4,328,392 USDT","-14,366,826 USDT","+28,756,476 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Phemex,"46,650,075 USDT","$46,668,735 ",0 USDT,USDT,"-1,000,000 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Poloniex,"26,559,267 USDT","$26,569,891 ","-2,585.84 USDT","+599,112 USDT","-1,086,151 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Binance.US,"23,932,677 USDT","$23,942,250 ","+5,615,248 USDT","-11,062,049 USDT","+1,285,449 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Coinbase Pro,"14,532,249 USDT","$14,538,062 ","-10,753,414 USDT","-383,189 USDT","-1,827,881 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Coinlist Pro,"11,330,007 USDT","$11,334,539 ","+33,466.58 USDT","+322,662 USDT","-275,179 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Indodax,"11,074,688 USDT","$11,079,118 ","+1,303,500 USDT","+2,366,457 USDT","+2,323,693 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,YoBit,"5,941,017 USDT","$5,943,394 ","-75,133.07 USDT","+22,532.08 USDT","+249,274 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,AscendEX,"4,830,402 USDT","$4,832,334 ","+305,255 USDT","+184,862 USDT","+433,381 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,CoinSwitch,"3,332,901 USDT","$3,334,234 ","+39,185.56 USDT","+130,113 USDT","+12,101.43 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,WhiteBIT,"3,319,504 USDT","$3,320,832 ","+316,812 USDT","+2,021,448 USDT","-6,194,170 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Kuna,"3,277,399 USDT","$3,278,710 ",0 USDT,USDT,USDT
3 USDT,https://www.coincarp.com/currencies/tether/,BitZ,"3,072,757 USDT","$3,073,986 ","+1,009 USDT","+5,341.92 USDT","+32,950.38 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Gemini,"3,039,098 USDT","$3,040,313 ","+364,493 USDT","-2,204,226 USDT","-240,237 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Coinw,"3,034,132 USDT","$3,035,346 ","+304,380 USDT","+466,113 USDT","+2,236,661 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,Bithumb,"2,984,758 USDT","$2,985,952 ","+13,117 USDT","+69,444.98 USDT","+428,355 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,CoinEx,"2,592,809 USDT","$2,593,846 ","-189,387 USDT","-696,494 USDT","-8,474,993 USDT"
3 USDT,https://www.coincarp.com/currencies/tether/,BigONE,"2,207,734 USDT","$2,208,617 ","+48,676.86 USDT","+25,673.62 USDT","+457,103 USDT"
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Binance,"21,268.56 BNB","$7,007,352 ",+2.605 BNB,+14.43 BNB,"+12,030.85 BNB"
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Binance.US,"2,113.08 BNB","$696,199 ",+0.4487 BNB,+1.486 BNB,"+1,375.92 BNB"
4 BNB,https://www.coincarp.com/currencies/binance-coin/,gate.io,"1,228.67 BNB","$404,809 ",0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Crypto.com Exchange,116.87 BNB,"$38,506.81 ",0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,CoinExchange,73.09 BNB,"$24,081.85 ",0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,IDEX,25.22 BNB,"$8,309.06 ",0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,KuCoin,5.393 BNB,"$1,776.95 ",0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Huobi Global,2.1 BNB,$691.88 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Binance JEX,2 BNB,$658.95 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Indodax,2 BNB,$658.94 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,CoinEx,0.8132 BNB,$267.95 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Korbit,0.7 BNB,$230.62 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,AscendEX,0.3665 BNB,$120.78 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,BKEX,0.1615 BNB,$53.23 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Bitfinex,0.15 BNB,$49.42 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Kraken,0.15 BNB,$49.42 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,OKX(OKEx),0.15 BNB,$49.42 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Poloniex,0.15 BNB,$49.42 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Coinbase Pro,0.103 BNB,$33.93 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,MEXC Global,0.0501 BNB,$16.50 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Coinw,0.01628 BNB,$5.36 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,Hotbit,0.000595 BNB,$0.20 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,CREX24,0.000583 BNB,$0.19 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,BigONE,0.00000009 BNB,$0.00 ,0 BNB,BNB,BNB
4 BNB,https://www.coincarp.com/currencies/binance-coin/,OTCBTC,0 BNB,$0 ,0 BNB,BNB,BNB
5 USDC,https://www.coincarp.com/currencies/usdc/,Binance,"1,702,022,326 USDC","$1,700,490,506 ","-101,380,992 USDC","-50,025,132 USDC","-3,413,324,318 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Crypto.com Exchange,"320,821,962 USDC","$320,533,222 ","-21,948,888 USDC","-26,317,303 USDC","-388,209,681 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Coinbase Pro,"272,204,574 USDC","$271,959,590 ","+241,150,420 USDC","+60,626,822 USDC","+9,457,104 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Kraken,"173,675,022 USDC","$173,518,714 ","-4,792,993 USDC","-1,332,716 USDC","+40,291,946 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,OKX(OKEx),"146,447,433 USDC","$146,315,630 ","-20,055,650 USDC","+34,676,815 USDC","-214,155,149 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,KuCoin,"68,219,503 USDC","$68,158,106 ","-2,562,176 USDC","-2,064,699 USDC","-52,236,218 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Bitget,"45,185,876 USDC","$45,145,208 ","-281,837 USDC","-1,439,491 USDC","-6,000,961 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,MEXC Global,"43,836,988 USDC","$43,797,535 ","-187,855 USDC","+8,105,352 USDC","+2,261,338 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Huobi Global,"21,699,388 USDC","$21,679,858 ","+1,357,755 USDC","+2,740,384 USDC","-87,051,648 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Bitfinex,"21,295,193 USDC","$21,276,027 ","+363,834 USDC","+1,424,659 USDC","+2,937,138 USDC"
