ticker_name,ticker_url,exchange_name,exchange_token_balance (cryptocurrency),exchange_value,selection1 (cryptocurrency),seven_day_change (cryptocurrency),three_day_change (cryptocurrency)
XRP,https://www.coincarp.com/currencies/ripple/,Binance,103976086.0,"$54,670,626 ",-12133.07,-281328.0,4936652.0
XRP,https://www.coincarp.com/currencies/ripple/,gate.io,7877.06,"$4,141.75 ",0.0,0.0,0.0
ADA,https://www.coincarp.com/currencies/cardano/,Binance,30189916.0,"$13,268,468 ",1710251.0,1785747.0,5466985.0
ADA,https://www.coincarp.com/currencies/cardano/,gate.io,8735.65,"$3,839.31 ",0.0,0.0,-115.11
DOGE,https://www.coincarp.com/currencies/dogecoin/,Binance,133568520.0,"$11,875,042 ",5092450.0,24963809.0,54837678.0
DOGE,https://www.coincarp.com/currencies/dogecoin/,MEXC Global,4284116.0,"$380,883 ",1747592.0,3761339.0,555141.0
DOGE,https://www.coincarp.com/currencies/dogecoin/,gate.io,145300.0,"$12,918.11 ",0.0,-6416.64,-8470.87
OKB,https://www.coincarp.com/currencies/okb/,OKX(OKEx),8114711.0,"$387,955,415 ",-662.06,718.86,3600015.0
OKB,https://www.coincarp.com/currencies/okb/,gate.io,29380.7,"$1,404,659 ",695.38,692.35,2569.78
OKB,https://www.coincarp.com/currencies/okb/,Indodax,6791.2,"$324,679 ",0.0,0.0,-5.045
OKB,https://www.coincarp.com/currencies/okb/,Hotbit,4929.71,"$235,684 ",0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,Bitfinex,4637.72,"$221,724 ",0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,AscendEX,2411.65,"$115,298 ",0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,Poloniex,521.61,"$24,937.91 ",0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,MEXC Global,496.93,"$23,757.97 ",-0.8407,5.538,-280.77
OKB,https://www.coincarp.com/currencies/okb/,ProBit Global,288.89,"$13,811.92 ",0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,Huobi Global,210.8,"$10,078.35 ",0.0,6.399,6.399
OKB,https://www.coincarp.com/currencies/okb/,HitBTC,0.2011,$9.62 ,0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,ZT,2e-08,$0.00 ,0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,BitMart,0.0,$0 ,0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,CoinEx,0.0,$0 ,0.0,0.0,0.0
OKB,https://www.coincarp.com/currencies/okb/,FTX,0.0,$0 ,0.0,0.0,0.0
MATIC,https://www.coincarp.com/currencies/matictoken/,Binance,395614041.0,"$460,969,481 ",-10567288.0,70373388.0,104426856.0
MATIC,https://www.coincarp.com/currencies/matictoken/,KuCoin,24901876.0,"$29,015,666 ",410917.0,1524474.0,122368.0
MATIC,https://www.coincarp.com/currencies/matictoken/,Crypto.com Exchange,24639076.0,"$28,709,451 ",57026.91,61562.74,-73958514.0
MATIC,https://www.coincarp.com/currencies/matictoken/,Bitfinex,17516206.0,"$20,409,883 ",-375722.0,-1601349.0,-3044012.0
