exchange_id,ticker_id,exchange_token_balance (cryptocurrency),exchange_value (USD),one_day_change (cryptocurrency),seven_day_change (cryptocurrency),thirty_day_change (cryptocurrency)
36,10020,206799,1304533,3753.57,23746.44,-1975.76
34,10020,89488.92,564514,-3.828,-8.405,46371.78
41,10020,83882.56,529147,-453.11,47.05,428.46
18,10020,82337.71,519402,0,0,-1632.72
9,10020,79062.79,498743,0,383.7,115.91
14,10020,73902.6,466192,-4.481,-7.5,-7.5
12,10020,64991.37,409978,3568.32,11442.94,14909.46
53,10020,43744.28,275947,-1599,-3195.93,-830.94
43,10020,25568.34,161290,0,-17.35,-1243.44
16,10020,25524.21,161011,-1445.65,6570.61,9458.28
46,10020,17830.09,112475,0,0,0
44,10020,17531.47,110592,-95.84,-235.35,-228.6
54,10020,15203.09,95904.14,0,26.04,222.95
56,10020,7883.27,49729.24,0,0,0
62,10020,6187,39028.83,0,0,0
69,10020,5701.47,35966.06,0,0,0
50,10020,4070.08,25674.92,0,0,-88.08
57,10020,3944.06,24879.92,0,0,0
61,10020,3122.04,19694.45,0,0,-1864.74
1,10016,2910.73,88788774,-359.75,-266.7,-1898.64
33,10016,1823.83,55634032,-8.932,-8.232,-0.219
5,10016,167.25,5101915,-4.742,27.85,-89.61
27,10016,84.44,2575831,-20.29,-135.52,-79.37
3,10016,77.76,2372158,-3.392,2.279,-2.396
2,10016,68.87,2101013,-4.92,0.4645,-18.21
36,10016,22.88,698207,0.233,-0.1191,-3.334
10,10016,22.22,677835,-1.351,0.9629,-9.424
9,10016,22.05,672855,0.0009,0.04925,-1.026
16,10016,14.85,453028,-0.9934,7.883,0.5217
6,10016,8.93,272406,-1.362,-12.59,-9.216
12,10016,7.514,229212,2.539,2.278,-2.716
8,10016,3.489,106439,-0.02896,0.08695,0.1018
14,10016,3.449,105208,0,0,0
54,10016,2.779,84765.65,0,2.157,2.738
56,10016,2.711,82711.26,0,0,0
43,10016,2.523,76971.6,0.154,1.759,1.849
65,10016,1.791,54626.47,0,0,0
53,10016,1.765,53837.58,0,0,0.6004
41,10016,1.103,33644.83,0,0.01658,-0.01779
15,10016,1.005,30661.04,0,0,0
34,10016,0.7176,21890.09,0,-0.001969,-0.002069
